Country,1 category,2 category,Product,Year,Income in USD
Holanda,No minero,Frutas y frutos ,Paltas,2020,146081329,1
Holanda,No minero,Frutas y frutos ,Arándanos,2020,92882609,76
Holanda,No minero,Frutas y frutos ,Uvas ,2020,59538462,9
Holanda,No minero,Frutas y frutos ,Manzanas,2020,46274151,86
Holanda,No minero,Frutas y frutos ,Kiwis,2020,21925012,13
Holanda,No minero,Frutas y frutos ,Peras,2020,15575760,79
Holanda,No minero,Frutas y frutos ,Nueces de nogal,2020,15927901,01
Holanda,No minero,Frutas y frutos ,Ciruelas,2020,9094780,75
Holanda,No minero,Frutas y frutos ,Duraznos y nectarinas,2020,5720027,14
Holanda,No minero,Frutas y frutos ,Limones,2020,5256230,62
Holanda,No minero,Frutas y frutos ,Resto Frutas y frutos ,2020,3522259,17
Holanda,No minero,Frutas y frutos ,Frambuesas y moras,2020,2784002,5
Holanda,No minero,Frutas y frutos ,Cerezas,2020,2090473,57
Holanda,No minero,Frutas y frutos ,Mandarinas y clementinas,2020,972063,72
Holanda,No minero,Frutas y frutos ,Frutillas,2020,563014
Holanda,No minero,Frutas y frutos ,Naranjas,2020,73619,49
Holanda,No minero,Frutas y frutos ,Avellanas,2020,132790,89
Holanda,No minero,Otros productos relevantes,Nitratos de potasio,2020,71765646,56
Holanda,No minero,Otros productos relevantes,Semillas para siembra,2020,37345484,65
Holanda,No minero,Otros productos relevantes,Óxidos e hidróxidos de molibdeno,2020,29252222,26
Holanda,No minero,Otros productos relevantes,Abonos,2020,29298132,29
Holanda,No minero,Otros productos relevantes,Ferroaleaciones,2020,8393822,65
Holanda,No minero,Otros productos relevantes,Metanol,2020,0
Holanda,No minero,Otros productos relevantes,Medicamentos,2020,697416,47
Holanda,No minero,Otros productos relevantes,Neumáticos,2020,0
Holanda,No minero,Forestales y sus derivados,Celulosa,2020,63466241
Holanda,No minero,Forestales y sus derivados,Madera y sus manufacturas,2020,24977514,1
Holanda,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2020,20015922,67
Holanda,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2020,58513,53
Holanda,No minero,Vitivinícola,Vinos,2020,92972572,83
Holanda,No minero,Vitivinícola,Mostos de uva,2020,6086186,87
Holanda,No minero,Vitivinícola,Vinos espumosos,2020,574449,34
Holanda,No minero,Resto No minería,Resto No minería,2020,83229967,75
Holanda,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2020,14147013,22
Holanda,No minero,Otros alimentos,Resto Otros alimentos,2020,11296036,65
Holanda,No minero,Otros alimentos,Carnes de ave,2020,8015620,85
Holanda,No minero,Otros alimentos,Carnes de otras especies,2020,204430,58
Holanda,No minero,Otros alimentos,Tomates preprarados o conservados,2020,1082205,55
Holanda,No minero,Otros alimentos,Hortalizas y tubérculos,2020,931331,07
Holanda,No minero,Otros alimentos,Miel,2020,58309,2
Holanda,No minero,Otros alimentos,Carnes de bovino,2020,94730,66
Holanda,No minero,Otros alimentos,Carnes de porcino,2020,250364,68
Holanda,No minero,Otros alimentos,Aceites de oliva,2020,1542,52
Holanda,No minero,Otros alimentos,Leche y otros productos lácteos,2020,0
Holanda,No minero,Productos del mar,Salmones y truchas,2020,5311555,03
Holanda,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2020,5725799,03
Holanda,No minero,Productos del mar,Harinas de pescado,2020,8766469,27
Holanda,No minero,Productos del mar,Grasas y aceites de pescado,2020,10,88
Holanda,No minero,Productos del mar,Jureles,2020,667564,5
Holanda,No minero,Productos del mar,Resto Productos del mar,2020,948055,24
Holanda,No minero,Productos del mar,Moluscos,2020,0
Holanda,No minero,Productos del mar,Algas,2020,211643,3
Holanda,No minero,Productos del mar,Bacalaos,2020,0
Holanda,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2020,5352374,76
Holanda,Minero,Minería,Cobre,2020,232359218,1
Holanda,Minero,Minería,Minerales de molibdeno y sus concentrados,2020,126520007,8
Holanda,Minero,Minería,Yodo,2020,28635435
Holanda,Minero,Minería,Minerales de cobre y sus concentrados,2020,0
Holanda,Minero,Minería,Resto Minería,2020,68416,85
Holanda,Minero,Minería,Litio,2020,716,04
Holanda,Minero,Minería,Sal gema, sal de salinas y sal marina,2020,0
España,Minero,Minería,Minerales de cobre y sus concentrados,2020,393648267
España,Minero,Minería,Cobre,2020,211880249,4
España,Minero,Minería,Resto Minería,2020,2697895,43
España,Minero,Minería,Oro,2020,11151220,29
España,Minero,Minería,Minerales de molibdeno y sus concentrados,2020,3973334,6
España,Minero,Minería,Yodo,2020,9183543,02
España,Minero,Minería,Litio,2020,837807,9
España,Minero,Minería,Plata,2020,0
España,Minero,Minería,Sal gema, sal de salinas y sal marina,2020,3925,23
España,Minero,Minería,Minerales de oro y sus concentrados,2020,800
España,Minero,Minería,Minerales de hierro y sus concentrados,2020,45,6
España,No minero,Productos del mar,Resto Productos del mar,2020,60448706,5
España,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2020,59204969,57
España,No minero,Productos del mar,Moluscos,2020,23644980,48
España,No minero,Productos del mar,Salmones y truchas,2020,19765858,35
España,No minero,Productos del mar,Harinas de pescado,2020,15259871,29
España,No minero,Productos del mar,Algas,2020,2075402,65
España,No minero,Productos del mar,Bacalaos,2020,2018223,13
España,No minero,Productos del mar,Grasas y aceites de pescado,2020,46860
España,No minero,Productos del mar,Jureles,2020,184114,65
España,No minero,Resto No minería,Resto No minería,2020,55084375,55
España,No minero,Frutas y frutos ,Nueces de nogal,2020,26694006,35
España,No minero,Frutas y frutos ,Paltas,2020,18436720,86
España,No minero,Frutas y frutos ,Uvas ,2020,16939511,48
España,No minero,Frutas y frutos ,Ciruelas,2020,7772582,81
España,No minero,Frutas y frutos ,Kiwis,2020,10540251,44
España,No minero,Frutas y frutos ,Manzanas,2020,7249822,53
España,No minero,Frutas y frutos ,Peras,2020,6936711,31
España,No minero,Frutas y frutos ,Resto Frutas y frutos ,2020,882833,54
España,No minero,Frutas y frutos ,Arándanos,2020,3375573,57
España,No minero,Frutas y frutos ,Cerezas,2020,2541637,19
España,No minero,Frutas y frutos ,Duraznos y nectarinas,2020,1773550,2
España,No minero,Frutas y frutos ,Limones,2020,1231504,28
España,No minero,Frutas y frutos ,Naranjas,2020,48959,44
España,No minero,Frutas y frutos ,Frambuesas y moras,2020,0
España,No minero,Frutas y frutos ,Avellanas,2020,71
España,No minero,Frutas y frutos ,Mandarinas y clementinas,2020,0
España,No minero,Frutas y frutos ,Maquis,2020,0
España,No minero,Otros productos relevantes,Nitratos de potasio,2020,39289275,98
España,No minero,Otros productos relevantes,Abonos,2020,10803424,9
España,No minero,Otros productos relevantes,Semillas para siembra,2020,1722732,71
España,No minero,Otros productos relevantes,Medicamentos,2020,122856,83
España,No minero,Otros productos relevantes,Metanol,2020,0
España,No minero,Otros productos relevantes,Ferroaleaciones,2020,0
España,No minero,Otros productos relevantes,Neumáticos,2020,8183,14
España,No minero,Otros productos relevantes,Alambres de cobre,2020,0
España,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2020,36273342,02
España,No minero,Forestales y sus derivados,Celulosa,2020,5526897,82
España,No minero,Forestales y sus derivados,Madera y sus manufacturas,2020,6521653,43
España,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2020,7504394,58
España,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2020,495676,52
España,No minero,Otros alimentos,Hortalizas y tubérculos,2020,11306069,44
España,No minero,Otros alimentos,Carnes de bovino,2020,1722838,93
España,No minero,Otros alimentos,Aceites de oliva,2020,5712878,7
España,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2020,2060796,33
España,No minero,Otros alimentos,Resto Otros alimentos,2020,773873,19
España,No minero,Otros alimentos,Carnes de otras especies,2020,1018968,32
España,No minero,Otros alimentos,Carnes de porcino,2020,525245,39
España,No minero,Otros alimentos,Carnes de ave,2020,321804,69
España,No minero,Otros alimentos,Miel,2020,97234,32
España,No minero,Otros alimentos,Tomates preprarados o conservados,2020,1293,59
España,No minero,Otros alimentos,Cecinas y embutidos,2020,0
España,No minero,Otros alimentos,Leche y otros productos lácteos,2020,0
España,No minero,Vitivinícola,Mostos de uva,2020,3255826,91
España,No minero,Vitivinícola,Vinos,2020,1063447,82
España,No minero,Vitivinícola,Vinos espumosos,2020,30541,39
Taiwán (Formosa),Minero,Minería,Cobre,2020,811155844,3
Taiwán (Formosa),Minero,Minería,Minerales de cobre y sus concentrados,2020,62127809,37
Taiwán (Formosa),Minero,Minería,Litio,2020,874374,81
Taiwán (Formosa),Minero,Minería,Minerales de molibdeno y sus concentrados,2020,1045216,02
Taiwán (Formosa),Minero,Minería,Resto Minería,2020,905993,22
Taiwán (Formosa),Minero,Minería,Minerales de oro y sus concentrados,2020,0
Taiwán (Formosa),No minero,Forestales y sus derivados,Celulosa,2020,97710847,65
Taiwán (Formosa),No minero,Forestales y sus derivados,Madera y sus manufacturas,2020,19946938,73
Taiwán (Formosa),No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2020,991947,84
Taiwán (Formosa),No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2020,8789,85
Taiwán (Formosa),No minero,Frutas y frutos ,Manzanas,2020,35936178,65
Taiwán (Formosa),No minero,Frutas y frutos ,Cerezas,2020,16588061,09
Taiwán (Formosa),No minero,Frutas y frutos ,Uvas ,2020,12095708,46
Taiwán (Formosa),No minero,Frutas y frutos ,Arándanos,2020,7098541,48
Taiwán (Formosa),No minero,Frutas y frutos ,Duraznos y nectarinas,2020,5496334,12
Taiwán (Formosa),No minero,Frutas y frutos ,Ciruelas,2020,5759444,66
Taiwán (Formosa),No minero,Frutas y frutos ,Kiwis,2020,72442,28
Taiwán (Formosa),No minero,Frutas y frutos ,Peras,2020,243706,86
Taiwán (Formosa),No minero,Frutas y frutos ,Frutillas,2020,205906,62
Taiwán (Formosa),No minero,Frutas y frutos ,Resto Frutas y frutos ,2020,58515
Taiwán (Formosa),No minero,Frutas y frutos ,Frambuesas y moras,2020,62316,76
Taiwán (Formosa),No minero,Frutas y frutos ,Nueces de nogal,2020,0
Taiwán (Formosa),No minero,Productos del mar,Salmones y truchas,2020,61669404,52
Taiwán (Formosa),No minero,Productos del mar,Harinas de pescado,2020,17468433,83
Taiwán (Formosa),No minero,Productos del mar,Moluscos,2020,5223729,41
Taiwán (Formosa),No minero,Productos del mar,Grasas y aceites de pescado,2020,7448370,42
Taiwán (Formosa),No minero,Productos del mar,Resto Productos del mar,2020,5205933,68
Taiwán (Formosa),No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2020,3754291,4
Taiwán (Formosa),No minero,Productos del mar,Algas,2020,961981,84
Taiwán (Formosa),No minero,Productos del mar,Bacalaos,2020,629509,2
Taiwán (Formosa),No minero,Productos del mar,Erizos,2020,347736,05
Taiwán (Formosa),No minero,Resto No minería,Resto No minería,2020,30911824,2
Taiwán (Formosa),No minero,Vitivinícola,Vinos,2020,8471147,98
Taiwán (Formosa),No minero,Vitivinícola,Mostos de uva,2020,40718,4
Taiwán (Formosa),No minero,Vitivinícola,Vinos espumosos,2020,22556,59
Taiwán (Formosa),No minero,Otros alimentos,Resto Otros alimentos,2020,917726,27
Taiwán (Formosa),No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2020,748821,69
Taiwán (Formosa),No minero,Otros alimentos,Granos de avena,2020,471790,42
Taiwán (Formosa),No minero,Otros alimentos,Tomates preprarados o conservados,2020,418759,44
Taiwán (Formosa),No minero,Otros alimentos,Hortalizas y tubérculos,2020,90838
Taiwán (Formosa),No minero,Otros alimentos,Aceites de oliva,2020,20634,2
Taiwán (Formosa),No minero,Otros alimentos,Miel,2020,0
Taiwán (Formosa),No minero,Otros alimentos,Carnes de porcino,2020,0
Taiwán (Formosa),No minero,Otros productos relevantes,Abonos,2020,791067,17
Taiwán (Formosa),No minero,Otros productos relevantes,Ferroaleaciones,2020,265499,1
Taiwán (Formosa),No minero,Otros productos relevantes,Semillas para siembra,2020,454908,13
Taiwán (Formosa),No minero,Otros productos relevantes,Nitratos de potasio,2020,175389,04
Taiwán (Formosa),No minero,Otros productos relevantes,Alambres de cobre,2020,0
Taiwán (Formosa),No minero,Otros productos relevantes,Medicamentos,2020,2947
Taiwán (Formosa),No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2020,692809,13
México,No minero,Forestales y sus derivados,Madera y sus manufacturas,2020,158618442,5
México,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2020,72096754,27
México,No minero,Forestales y sus derivados,Celulosa,2020,20336982,16
México,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2020,1407375,81
México,No minero,Otros alimentos,Resto Otros alimentos,2020,86719852,14
México,No minero,Otros alimentos,Carnes de ave,2020,55744038,54
México,No minero,Otros alimentos,Hortalizas y tubérculos,2020,21546431,27
México,No minero,Otros alimentos,Leche y otros productos lácteos,2020,19678900,18
México,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2020,6367914,17
México,No minero,Otros alimentos,Tomates preprarados o conservados,2020,6444937
México,No minero,Otros alimentos,Carnes de porcino,2020,2457481
México,No minero,Otros alimentos,Cecinas y embutidos,2020,1851602,47
México,No minero,Otros alimentos,Granos de avena,2020,1638387
México,No minero,Otros alimentos,Aceites de oliva,2020,151751,08
México,No minero,Otros alimentos,Carnes de bovino,2020,152405,3
México,No minero,Otros alimentos,Carnes de otras especies,2020,0
México,No minero,Resto No minería,Resto No minería,2020,161399285,4
México,No minero,Productos del mar,Salmones y truchas,2020,103892709,2
México,No minero,Productos del mar,Moluscos,2020,2697778,73
México,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2020,2908847,31
México,No minero,Productos del mar,Grasas y aceites de pescado,2020,3180296,7
México,No minero,Productos del mar,Resto Productos del mar,2020,163211,6
México,No minero,Productos del mar,Harinas de pescado,2020,851147,04
México,No minero,Productos del mar,Bacalaos,2020,495361,57
México,No minero,Productos del mar,Algas,2020,337850
México,No minero,Productos del mar,Jureles,2020,0
México,No minero,Productos del mar,Erizos,2020,0
México,No minero,Otros productos relevantes,Abonos,2020,98225835,73
México,No minero,Otros productos relevantes,Medicamentos,2020,6426905,35
México,No minero,Otros productos relevantes,Ferroaleaciones,2020,384174,03
México,No minero,Otros productos relevantes,Neumáticos,2020,1056358,82
México,No minero,Otros productos relevantes,Nitratos de potasio,2020,43312
México,No minero,Otros productos relevantes,Semillas para siembra,2020,109200
México,No minero,Otros productos relevantes,Alambres de cobre,2020,0
México,No minero,Frutas y frutos ,Uvas ,2020,30765398,35
México,No minero,Frutas y frutos ,Ciruelas,2020,19150007,07
México,No minero,Frutas y frutos ,Duraznos y nectarinas,2020,12561252,98
México,No minero,Frutas y frutos ,Kiwis,2020,7576218,4
México,No minero,Frutas y frutos ,Manzanas,2020,3876724,65
México,No minero,Frutas y frutos ,Avellanas,2020,17,75
México,No minero,Frutas y frutos ,Cerezas,2020,2581327,19
México,No minero,Frutas y frutos ,Peras,2020,1302853,38
México,No minero,Frutas y frutos ,Resto Frutas y frutos ,2020,618857,4
México,No minero,Frutas y frutos ,Frambuesas y moras,2020,1093111,5
México,No minero,Frutas y frutos ,Frutillas,2020,1306635
México,No minero,Frutas y frutos ,Nueces de nogal,2020,392698,64
México,No minero,Frutas y frutos ,Arándanos,2020,208579,84
México,No minero,Vitivinícola,Vinos,2020,32956226,86
México,No minero,Vitivinícola,Mostos de uva,2020,747266,48
México,No minero,Vitivinícola,Vinos espumosos,2020,184147
México,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2020,26146328,93
México,Minero,Minería,Minerales de cobre y sus concentrados,2020,27216494
México,Minero,Minería,Cobre,2020,57175132,03
México,Minero,Minería,Yodo,2020,8971694,86
México,Minero,Minería,Litio,2020,1549751,63
México,Minero,Minería,Minerales de molibdeno y sus concentrados,2020,442406,2
México,Minero,Minería,Resto Minería,2020,838793,51
México,Minero,Minería,Sal gema, sal de salinas y sal marina,2020,0
México,Minero,Minería,Minerales de plomo y sus concentrados,2020,304150,35
México,Minero,Minería,Plata,2020,0
México,Minero,Minería,Oro,2020,0
México,Minero,Minería,Minerales de hierro y sus concentrados,2020,0
India,Minero,Minería,Minerales de cobre y sus concentrados,2020,555218168,7
India,Minero,Minería,Minerales de molibdeno y sus concentrados,2020,51619609,33
India,Minero,Minería,Yodo,2020,43560819,9
India,Minero,Minería,Oro,2020,19405647,15
India,Minero,Minería,Resto Minería,2020,11171707,47
India,Minero,Minería,Cobre,2020,2392103,59
India,Minero,Minería,Litio,2020,2236375,38
India,Minero,Minería,Plata,2020,0
India,No minero,Frutas y frutos ,Manzanas,2020,15995792,99
India,No minero,Frutas y frutos ,Nueces de nogal,2020,35386609,51
India,No minero,Frutas y frutos ,Kiwis,2020,14971586,51
India,No minero,Frutas y frutos ,Cerezas,2020,1082679,78
India,No minero,Frutas y frutos ,Uvas ,2020,498452,97
India,No minero,Frutas y frutos ,Peras,2020,121345,4
India,No minero,Frutas y frutos ,Ciruelas,2020,373741,45
India,No minero,Frutas y frutos ,Arándanos,2020,393693,81
India,No minero,Frutas y frutos ,Resto Frutas y frutos ,2020,12,16
India,No minero,Frutas y frutos ,Mandarinas y clementinas,2020,0
India,No minero,Frutas y frutos ,Frambuesas y moras,2020,0
India,No minero,Frutas y frutos ,Paltas,2020,16916,2
India,No minero,Frutas y frutos ,Duraznos y nectarinas,2020,0
India,No minero,Frutas y frutos ,Frutillas,2020,0
India,No minero,Forestales y sus derivados,Celulosa,2020,31790345,7
India,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2020,15044209,2
India,No minero,Forestales y sus derivados,Madera y sus manufacturas,2020,21987,09
India,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2020,59705,88
India,No minero,Resto No minería,Resto No minería,2020,21341197,52
India,No minero,Otros productos relevantes,Semillas para siembra,2020,2935237,02
India,No minero,Otros productos relevantes,Abonos,2020,409578,17
India,No minero,Otros productos relevantes,Medicamentos,2020,203373,75
India,No minero,Otros productos relevantes,Ferroaleaciones,2020,87626,98
India,No minero,Otros productos relevantes,Nitratos de potasio,2020,30270
India,No minero,Otros productos relevantes,Neumáticos,2020,0
India,No minero,Otros alimentos,Granos de avena,2020,6784568,55
India,No minero,Otros alimentos,Resto Otros alimentos,2020,1824205,31
India,No minero,Otros alimentos,Tomates preprarados o conservados,2020,599180,27
India,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2020,22599,66
India,No minero,Otros alimentos,Carnes de porcino,2020,119
India,No minero,Otros alimentos,Aceites de oliva,2020,31,2
India,No minero,Vitivinícola,Vinos,2020,1076375,51
India,No minero,Vitivinícola,Vinos espumosos,2020,1860
India,No minero,Vitivinícola,Mostos de uva,2020,0
India,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2020,629839,18
India,No minero,Productos del mar,Grasas y aceites de pescado,2020,762512,02
India,No minero,Productos del mar,Algas,2020,80
India,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2020,0
India,No minero,Productos del mar,Resto Productos del mar,2020,0
Canadá,Minero,Minería,Cobre,2020,464605676,4
Canadá,Minero,Minería,Oro,2020,0
Canadá,Minero,Minería,Minerales de cobre y sus concentrados,2020,0
Canadá,Minero,Minería,Sal gema, sal de salinas y sal marina,2020,3920861,68
Canadá,Minero,Minería,Litio,2020,1605020,33
Canadá,Minero,Minería,Minerales de molibdeno y sus concentrados,2020,0
Canadá,Minero,Minería,Yodo,2020,605598
Canadá,Minero,Minería,Resto Minería,2020,51458,91
Canadá,Minero,Minería,Minerales de hierro y sus concentrados,2020,0
Canadá,Minero,Minería,Minerales de cinc y sus concentrados,2020,0
Canadá,No minero,Frutas y frutos ,Uvas ,2020,36716524,5
Canadá,No minero,Frutas y frutos ,Frambuesas y moras,2020,21077561,4
Canadá,No minero,Frutas y frutos ,Manzanas,2020,12283337,66
Canadá,No minero,Frutas y frutos ,Arándanos,2020,18441235,58
Canadá,No minero,Frutas y frutos ,Frutillas,2020,17274031,39
Canadá,No minero,Frutas y frutos ,Resto Frutas y frutos ,2020,4944875,55
Canadá,No minero,Frutas y frutos ,Ciruelas,2020,6448571,72
Canadá,No minero,Frutas y frutos ,Avellanas,2020,17,75
Canadá,No minero,Frutas y frutos ,Mandarinas y clementinas,2020,4875737,1
Canadá,No minero,Frutas y frutos ,Duraznos y nectarinas,2020,4421703,18
Canadá,No minero,Frutas y frutos ,Kiwis,2020,3727175,03
Canadá,No minero,Frutas y frutos ,Cerezas,2020,2926389,6
Canadá,No minero,Frutas y frutos ,Naranjas,2020,1708809,87
Canadá,No minero,Frutas y frutos ,Nueces de nogal,2020,474877,56
Canadá,No minero,Frutas y frutos ,Peras,2020,269883,12
Canadá,No minero,Frutas y frutos ,Limones,2020,62245,84
Canadá,No minero,Frutas y frutos ,Paltas,2020,0
Canadá,No minero,Frutas y frutos ,Maquis,2020,0
Canadá,No minero,Resto No minería,Resto No minería,2020,71976207,54
Canadá,No minero,Vitivinícola,Vinos,2020,74765611,4
Canadá,No minero,Vitivinícola,Mostos de uva,2020,13079450,98
Canadá,No minero,Vitivinícola,Vinos espumosos,2020,317031,73
Canadá,No minero,Productos del mar,Salmones y truchas,2020,58989123,29
Canadá,No minero,Productos del mar,Harinas de pescado,2020,12682435,72
Canadá,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2020,5065791,25
Canadá,No minero,Productos del mar,Grasas y aceites de pescado,2020,5000451,67
Canadá,No minero,Productos del mar,Algas,2020,2522494,98
Canadá,No minero,Productos del mar,Moluscos,2020,531066,08
Canadá,No minero,Productos del mar,Resto Productos del mar,2020,363550,27
Canadá,No minero,Productos del mar,Bacalaos,2020,493692,53
Canadá,No minero,Productos del mar,Erizos,2020,0
Canadá,No minero,Productos del mar,Jureles,2020,27485,1
Canadá,No minero,Forestales y sus derivados,Madera y sus manufacturas,2020,34280535,82
Canadá,No minero,Forestales y sus derivados,Celulosa,2020,2476665,47
Canadá,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2020,347731,61
Canadá,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2020,33587,26
Canadá,No minero,Otros alimentos,Resto Otros alimentos,2020,19713556,45
Canadá,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2020,8072029,89
Canadá,No minero,Otros alimentos,Carnes de bovino,2020,6370902,49
Canadá,No minero,Otros alimentos,Carnes de porcino,2020,444598,04
Canadá,No minero,Otros alimentos,Carnes de ave,2020,381821,58
Canadá,No minero,Otros alimentos,Aceites de oliva,2020,1273808,71
Canadá,No minero,Otros alimentos,Hortalizas y tubérculos,2020,423038,83
Canadá,No minero,Otros alimentos,Tomates preprarados o conservados,2020,425791
Canadá,No minero,Otros alimentos,Carnes de otras especies,2020,0
Canadá,No minero,Otros alimentos,Miel,2020,0
Canadá,No minero,Otros alimentos,Leche y otros productos lácteos,2020,0
Canadá,No minero,Otros productos relevantes,Semillas para siembra,2020,12320120,37
Canadá,No minero,Otros productos relevantes,Medicamentos,2020,1595205,65
Canadá,No minero,Otros productos relevantes,Nitratos de potasio,2020,907844,66
Canadá,No minero,Otros productos relevantes,Ferroaleaciones,2020,0
Canadá,No minero,Otros productos relevantes,Metanol,2020,592800
Canadá,No minero,Otros productos relevantes,Alambres de cobre,2020,0
Canadá,No minero,Otros productos relevantes,Neumáticos,2020,6800
Canadá,No minero,Otros productos relevantes,Abonos,2020,41763,17
Canadá,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2020,6267826,77
Francia,Minero,Minería,Cobre,2020,480766597
Francia,Minero,Minería,Yodo,2020,4869691,03
Francia,Minero,Minería,Resto Minería,2020,2629,25
Francia,Minero,Minería,Litio,2020,102
Francia,No minero,Resto No minería,Resto No minería,2020,42855627,1
Francia,No minero,Productos del mar,Salmones y truchas,2020,37364100,37
Francia,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2020,24886241,36
Francia,No minero,Productos del mar,Algas,2020,5078422,67
Francia,No minero,Productos del mar,Resto Productos del mar,2020,3527520,79
Francia,No minero,Productos del mar,Jureles,2020,538400,2
Francia,No minero,Productos del mar,Moluscos,2020,164743,96
Francia,No minero,Productos del mar,Grasas y aceites de pescado,2020,0
Francia,No minero,Productos del mar,Harinas de pescado,2020,0
Francia,No minero,Productos del mar,Erizos,2020,19495,5
Francia,No minero,Otros productos relevantes,Semillas para siembra,2020,25541351,33
Francia,No minero,Otros productos relevantes,Óxidos e hidróxidos de molibdeno,2020,12942083,93
Francia,No minero,Otros productos relevantes,Neumáticos,2020,0
Francia,No minero,Otros productos relevantes,Nitratos de potasio,2020,57019,93
Francia,No minero,Otros productos relevantes,Medicamentos,2020,50751,05
Francia,No minero,Otros productos relevantes,Abonos,2020,0
Francia,No minero,Frutas y frutos ,Manzanas,2020,16272909,06
Francia,No minero,Frutas y frutos ,Nueces de nogal,2020,10860695,67
Francia,No minero,Frutas y frutos ,Uvas ,2020,4895532,94
Francia,No minero,Frutas y frutos ,Kiwis,2020,6373906,89
Francia,No minero,Frutas y frutos ,Frambuesas y moras,2020,4931754,97
Francia,No minero,Frutas y frutos ,Paltas,2020,3357918,51
Francia,No minero,Frutas y frutos ,Cerezas,2020,1318177,23
Francia,No minero,Frutas y frutos ,Resto Frutas y frutos ,2020,1046738,98
Francia,No minero,Frutas y frutos ,Arándanos,2020,1211199,16
Francia,No minero,Frutas y frutos ,Peras,2020,922763,23
Francia,No minero,Frutas y frutos ,Ciruelas,2020,131939,8
Francia,No minero,Frutas y frutos ,Frutillas,2020,0
Francia,No minero,Frutas y frutos ,Duraznos y nectarinas,2020,88786,43
Francia,No minero,Frutas y frutos ,Limones,2020,0
Francia,No minero,Frutas y frutos ,Maquis,2020,0
Francia,No minero,Forestales y sus derivados,Celulosa,2020,25051634,52
Francia,No minero,Forestales y sus derivados,Madera y sus manufacturas,2020,4871621,57
Francia,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2020,4368492,41
Francia,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2020,6804,75
Francia,No minero,Vitivinícola,Vinos,2020,34480252,96
Francia,No minero,Vitivinícola,Mostos de uva,2020,7230320,54
Francia,No minero,Vitivinícola,Vinos espumosos,2020,26264,6
Francia,No minero,Otros alimentos,Hortalizas y tubérculos,2020,4643212,73
Francia,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2020,3045419,13
Francia,No minero,Otros alimentos,Resto Otros alimentos,2020,3961967,06
Francia,No minero,Otros alimentos,Miel,2020,630105,16
Francia,No minero,Otros alimentos,Carnes de otras especies,2020,1522183,87
Francia,No minero,Otros alimentos,Carnes de bovino,2020,0
Francia,No minero,Otros alimentos,Tomates preprarados o conservados,2020,0
Francia,No minero,Otros alimentos,Carnes de ave,2020,0
Francia,No minero,Otros alimentos,Aceites de oliva,2020,0
Francia,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2020,12648268,92
Alemania,Minero,Minería,Minerales de cobre y sus concentrados,2020,464336396,4
Alemania,Minero,Minería,Cobre,2020,84475404,76
Alemania,Minero,Minería,Litio,2020,21091022,37
Alemania,Minero,Minería,Minerales de oro y sus concentrados,2020,1986
Alemania,Minero,Minería,Minerales de molibdeno y sus concentrados,2020,0
Alemania,Minero,Minería,Resto Minería,2020,74704,78
Alemania,Minero,Minería,Minerales de hierro y sus concentrados,2020,0
Alemania,No minero,Frutas y frutos ,Nueces de nogal,2020,65434948,89
Alemania,No minero,Frutas y frutos ,Manzanas,2020,26759760,84
Alemania,No minero,Frutas y frutos ,Arándanos,2020,18954828,69
