Country,1 category,2 category,Product,Year,Income in USD
Corea del Sur,No minero,Resto No minería,Resto No minería,2017,46690886,07
Corea del Sur,No minero,Otros productos relevantes,Nitratos de potasio,2017,5259825,25
Corea del Sur,No minero,Otros productos relevantes,Alambres de cobre,2017,1006975,57
Corea del Sur,No minero,Otros productos relevantes,Semillas para siembra,2017,1674327,26
Corea del Sur,No minero,Otros productos relevantes,Abonos,2017,727320,9
Corea del Sur,No minero,Otros productos relevantes,Metanol,2017,0
Corea del Sur,No minero,Otros productos relevantes,Medicamentos,2017,109474,5
Corea del Sur,No minero,Otros productos relevantes,Ferroaleaciones,2017,13500
Corea del Sur,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,987214,32
Brasil,No minero,Productos del mar,Salmones y truchas,2017,581998389,7
Brasil,No minero,Productos del mar,Grasas y aceites de pescado,2017,8335508,49
Brasil,No minero,Productos del mar,Harinas de pescado,2017,4866984,51
Brasil,No minero,Productos del mar,Resto Productos del mar,2017,3189501,31
Brasil,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,1678587,69
Brasil,No minero,Productos del mar,Moluscos,2017,2709609,77
Brasil,No minero,Productos del mar,Bacalaos,2017,104987,75
Brasil,No minero,Productos del mar,Jureles,2017,51250
Brasil,No minero,Productos del mar,Algas,2017,9150,77
Brasil,No minero,Resto No minería,Resto No minería,2017,452514586,3
Brasil,No minero,Otros productos relevantes,Metanol,2017,127345359,2
Brasil,No minero,Otros productos relevantes,Abonos,2017,158371570,7
Brasil,No minero,Otros productos relevantes,Alambres de cobre,2017,108054412,6
Brasil,No minero,Otros productos relevantes,Ferroaleaciones,2017,16552053,96
Brasil,No minero,Otros productos relevantes,Semillas para siembra,2017,7637080,09
Brasil,No minero,Otros productos relevantes,Nitratos de potasio,2017,1610613,16
Brasil,No minero,Otros productos relevantes,Neumáticos,2017,642012,6
Brasil,No minero,Otros productos relevantes,Medicamentos,2017,124691,07
Brasil,No minero,Otros productos relevantes,Óxidos e hidróxidos de molibdeno,2017,76299,09
Brasil,No minero,Vitivinícola,Vinos,2017,145772972,4
Brasil,No minero,Vitivinícola,Vinos espumosos,2017,1429736,11
Brasil,No minero,Vitivinícola,Mostos de uva,2017,76865
Brasil,No minero,Frutas y frutos ,Manzanas,2017,30045869,33
Brasil,No minero,Frutas y frutos ,Nueces de nogal,2017,32786615,37
Brasil,No minero,Frutas y frutos ,Ciruelas,2017,17119426,2
Brasil,No minero,Frutas y frutos ,Kiwis,2017,13984916,8
Brasil,No minero,Frutas y frutos ,Uvas ,2017,29239576,77
Brasil,No minero,Frutas y frutos ,Cerezas,2017,11245122,14
Brasil,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,8757033,94
Brasil,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,7489167
Brasil,No minero,Frutas y frutos ,Avellanas,2017,4135714
Brasil,No minero,Frutas y frutos ,Peras,2017,4168521,68
Brasil,No minero,Frutas y frutos ,Frutillas,2017,1729407,82
Brasil,No minero,Frutas y frutos ,Frambuesas y moras,2017,1799294,72
Brasil,No minero,Frutas y frutos ,Arándanos,2017,928525,08
Brasil,No minero,Frutas y frutos ,Paltas,2017,1086308,7
Brasil,No minero,Frutas y frutos ,Naranjas,2017,23799,99
Brasil,No minero,Frutas y frutos ,Limones,2017,0
Brasil,No minero,Frutas y frutos ,Mandarinas y clementinas,2017,0
Brasil,No minero,Otros alimentos,Aceites de oliva,2017,22585686,79
Brasil,No minero,Otros alimentos,Resto Otros alimentos,2017,25233381,47
Brasil,No minero,Otros alimentos,Tomates preprarados o conservados,2017,13144253,99
Brasil,No minero,Otros alimentos,Hortalizas y tubérculos,2017,10672994,18
Brasil,No minero,Otros alimentos,Leche y otros productos lácteos,2017,11510721,77
Brasil,No minero,Otros alimentos,Carnes de otras especies,2017,4357097,22
Brasil,No minero,Otros alimentos,Cecinas y embutidos,2017,850773,3
Brasil,No minero,Otros alimentos,Carnes de ave,2017,176647,08
Brasil,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,968649,77
Brasil,No minero,Otros alimentos,Carnes de porcino,2017,551927,61
Brasil,No minero,Otros alimentos,Carnes de bovino,2017,80
Brasil,No minero,Otros alimentos,Granos de avena,2017,0
Brasil,No minero,Otros alimentos,Miel,2017,34,68
Brasil,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,23209274,86
Brasil,No minero,Forestales y sus derivados,Celulosa,2017,4389013,65
Brasil,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,1346369,31
Brasil,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,2044123,99
Brasil,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,17241522,41
Brasil,Minero,Minería,Cobre,2017,970557156,9
Brasil,Minero,Minería,Minerales de cobre y sus concentrados,2017,450564984,3
Brasil,Minero,Minería,Minerales de molibdeno y sus concentrados,2017,48751389,73
Brasil,Minero,Minería,Yodo,2017,21384038,2
Brasil,Minero,Minería,Resto Minería,2017,21316623,5
Brasil,Minero,Minería,Sal gema, sal de salinas y sal marina,2017,12069130,3
Brasil,Minero,Minería,Minerales de hierro y sus concentrados,2017,14644,14
Brasil,Minero,Minería,Plata,2017,8707,76
Brasil,Minero,Minería,Litio,2017,2600
Perú,No minero,Resto No minería,Resto No minería,2017,739954994,2
Perú,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,224861432,2
Perú,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,79705908,6
Perú,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,52112325,95
Perú,No minero,Forestales y sus derivados,Celulosa,2017,39329585,93
Perú,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,9272764,78
